2024-03-01 21:11:26 status unpacked git:amd64 1:2.25.1-1ubuntu3.11
2024-03-01 21:11:27 startup packages configure
2024-03-01 21:11:27 configure liberror-perl:all 0.17029-1 <none>
2024-03-01 21:11:27 status unpacked liberror-perl:all 0.17029-1
2024-03-01 21:11:27 status half-configured liberror-perl:all 0.17029-1
2024-03-01 21:11:27 status installed liberror-perl:all 0.17029-1
2024-03-01 21:11:27 configure git-man:all 1:2.25.1-1ubuntu3.11 <none>
2024-03-01 21:11:27 status unpacked git-man:all 1:2.25.1-1ubuntu3.11
2024-03-01 21:11:27 status half-configured git-man:all 1:2.25.1-1ubuntu3.11
2024-03-01 21:11:27 status installed git-man:all 1:2.25.1-1ubuntu3.11
2024-03-01 21:11:27 configure git:amd64 1:2.25.1-1ubuntu3.11 <none>
2024-03-01 21:11:27 status unpacked git:amd64 1:2.25.1-1ubuntu3.11
2024-03-01 21:11:27 status half-configured git:amd64 1:2.25.1-1ubuntu3.11
2024-03-01 21:11:27 status installed git:amd64 1:2.25.1-1ubuntu3.11
2024-03-01 21:11:27 trigproc man-db:amd64 2.9.1-1 <none>
2024-03-01 21:11:27 status half-configured man-db:amd64 2.9.1-1
2024-03-01 21:11:30 status installed man-db:amd64 2.9.1-1
2024-03-08 14:14:19 startup archives unpack
2024-03-08 14:14:19 upgrade thunderbird-locale-en-us:all 1:115.6.0+build2-0ubuntu0.20.04.1 1:115.8.1+build1-0ubuntu0.20.04.1
2024-03-08 14:14:19 status half-configured thunderbird-locale-en-us:all 1:115.6.0+build2-0ubuntu0.20.04.1
2024-03-08 14:14:19 status unpacked thunderbird-locale-en-us:all 1:115.6.0+build2-0ubuntu0.20.04.1
2024-03-08 14:14:19 status half-installed thunderbird-locale-en-us:all 1:115.6.0+build2-0ubuntu0.20.04.1
2024-03-08 14:14:19 status unpacked thunderbird-locale-en-us:all 1:115.8.1+build1-0ubuntu0.20.04.1
2024-03-08 14:14:19 startup packages configure
2024-03-08 14:14:19 configure thunderbird-locale-en-us:all 1:115.8.1+build1-0ubuntu0.20.04.1 <none>
2024-03-08 14:14:19 status unpacked thunderbird-locale-en-us:all 1:115.8.1+build1-0ubuntu0.20.04.1
2024-03-08 14:14:19 status half-configured thunderbird-locale-en-us:all 1:115.8.1+build1-0ubuntu0.20.04.1
2024-03-08 14:14:19 status installed thunderbird-locale-en-us:all 1:115.8.1+build1-0ubuntu0.20.04.1
2024-03-08 14:14:25 startup archives unpack
